text,percent
"verás q le termina partiendo la boca a mi mariquita ",0.7
"Aprender a leer la mente es la clave del éxito en el amor, según la ciencia ",0
"Mí sueño frustrado es saber tocar la guitarra y saber cantar,pero con la voz que tengo no llego a ningun lado",0
"No pedimos un álbum.  No pedimos un comeback.  Sólo pedimos que nuestros ídolos descansen y tenga una salud plena en su vida.  Sólo pedimos verlos bien y saludables sin importar qué.  Por favor Big Hit, dales el descanso que merecen.",0
" Ese carajo ya debe tener los gvos metidos en el culo de lo cagado que debe estar, agarre lo suyo.",0.75
" Es un desgraciado. La lía y se quita de enmedio.",0.625
"Ese viejo , debería irse a su casa !!! Eso de que los "" viejos son sabios ""  con él no va , es un necio y un intolerante ",0
"Que se que es un coñazo tener que ir con muletas pero lo prefiero la verdad",0.575
"Destapar botellas fumar marihuana y que suene el ritmo hasta que se haga la mañana",0
"No permitamos #NiUnPasoAtras en nuestros derechos, ha costado mucho conseguirlos y queda mucho trabajo por hacer.",0
" Ese en fin... tuyo es una burda copia del en fin de  se original nojoda",0
"En verdad que te pasas de descarado, enfermo mitómano como puedes tener la osadía de preguntar quien Jodio al País ? Que chucha no tienes un espejo para verte la cara ahí vas a encontrar quien jodio al Ecuador Bobaso",0.375
"Qué asco. ¿No es suficientemente notoria la incomodidad de la niña mientras ese miserable la toquetea? Qué malparido asco. ",0.3
" Calma judío de merde, no grites. En Israel hay nazis. No los queremos aquí, ni siquiera en tipo Neol… ",0.925
"ESTA ES LA RESPUESTA DE PIÑERA a los pescadores artesanales de Valdivia. Pescadores resultaron heridos por disparos de escopetas disparados por GOPE a quema ropa. (AYER)",0
" : 3 millones de muertos mete a tu familia también viejo pajuo ",0.825
"No me arrepiento por haber sido una aventura pasajera de tu tonto experimento",0
"""Les prometían todo y no les daban nada. Entonces yo empleé un sistema distinto. No prometer nada y darles todo"".",0
"Cuanto estúpido con el ego inflado en twitter",0.625
" : Si hay algo mas hermoso que la milanesa de pollo no quiero saberlo",0
"Lo creen a uno marica. ",0.675
" : Toca sesión preparatoria, y de disfrute total, para ir mañana a la sala de cine a ver lo último de #MNightShyamalan. Hay…",0
"      El odio es de quien se niega a utiliz… ",0.05
" : Barcelona apuesta por democratizar la ciencia: reconocidos investigadores participarán en un encuentro en la ciudad, del 7…",0
" Igual no te lo harás desgraciado de la vida",0.7
"    No, ps que mamada, entonces al rato van a decir que si no… ",0.3
"   menudo desgraciado....",0.875
" : Me rehuso empezar la universidad.",0
" : Ayúdanos a difundir la consulta para el plan de trabajo de la    …",0
" : ¿Sufrir por amor? Naaaaaaa
Yo sufro cuando suena la puta alarma y necesito seguir durmiendo.",0.3
"Estamos convocando al movimiento de unión más importante de Venezuela, con el propósito de ayudar al prójimo.   Si todavía no saben cómo pueden ayudar, les pido que se registren en:",0
"  ajajaja me talegio? Te arrastrado 4 finales rojo mierda",0.5
"PIDEN AYUDA SANITARIA EN CÚCUTA por las Malas Condiciones de los Alimentos y Medicinas Falsificados Chelsea ",0
"Que negro de mierda jajajaj como lo banco a mi amigo poli",0.925
"Mardito ni me escribes y ves mis estado de ws y le das like a mi tuit quejeso",0.55
" Aah que pendejo, no leí bien jajaja!! Ah no si mándalos a chsm",0.85
"La bruja es mala, qué dices.",0.425
" , es una marca de ropa. Me encanta la naturaleza y queremos conservarla. Además tambi… ",0
" :   Ya sabemos que eres un ardido, y estúpido.",0.7
"Uso tanto la agenda para apuntarme los trabajos de la universidad que me acabo de dar cuenta de que llevo todo el c… ",0
" : Venezuela tu puedes...lograr tu libertad. ",0
" : No hable tanto de Venezuela, viejo desgraciado. Ilustrenos sobre la mierda en que viven millones de colombianos. Tal v…",0.675
"Justo que hoy quería ir al cine me enfermo ",0
"  Si al paro estudiantil que sierren la universidad",0
"Humberto usted literalmente es un gran guevon, acomplejado y frustrado con ese mal proceso de paz ️ ",0
" Dije que el era idiota, no yo",0.925
" Un comejen de quede guevon con esa plata llamada chavismo . Zapegato!",0.75
" : Fuimos la generación que sufrió los atentados,  los secuestros y las bombas en Colombia. 
Cuando pensábamos que habíamos…",0
" : che como mierda hacen para salir tanto a cenar, a merendar, a jodas, DE DONDE SACAN PLATA PASEN EL TIP",0.925
" Eres una basura, produce algo estúpida sanguijuela",0.8
" Uy viejo marica que hijuemadre foto más empañada. Comprate un celular bueno",0.8
" Pero que te ha pasado desgraciado",0.625
"Ahorita que me toque, los voy a matar a toDIGO.",0.95
" ¿Quién querrá ver a ese desgraciado, que llevó a uno de los países más ricos a ser el más paupérrimo de… ",0
"   un mariquita más. La misoginia no se cura, menos en los uribestias.",0.375
"Este año fue definitivamente como estar en un carrito chocón: vacilé que jode pero llevé puro coñazo.",0.375
" : Un mensaje para la Mery:
Si Freddie te dice que es bisexual, no le digas que es gay, lo sabrá el mejor que tú lagarta :)",0.65
" Un desgraciado!",0.95
" Cacho de frente",0.5
"Ahora en el simposio latinoamericano de musicoterapia: Los aspectos básicos sobre la estructura de una sesión de mu… ",0
"mira me da mucha rabia saber q he hecho algo mal y q me lo restrieguen, q ya lo se coño dejame",0.4
"Tengo mucho sueño pero leeré un poco sobre mis heridas emocionales",0
"Popeye el marino sigue mostrando los músculos a los 90 años de edad ",0
"todos los demonios haciendo fiesta con mi parálisis del sueño ",0
"Estoy llena de granos, si estoy pasando de nuevo por la pubertad, espero que al menos esta vez me crezcan las tetas",0.15
"En los Retratos de México escuchemos el testimonio de un artista plástico y veamos su trabajo #ExpresoDeLaMañana",0
"Yaaa estaaa.. Victoria para los tigres nojoda.. Vamos equipo  #ArribaTigres #ArribaTigres #ArribaTigres ",0
" Tu novia? chama ya admite que eres cachapera xd okno jdjsjs saludos desde Venezuelaa",0.55
" Deja de twittear tantas boludeces pendejo estúpido",0.875
" : Armani ataja en un Amistoso como si estuviese atajando en una final de Libertadores en el Bernabéu.",0
" Cómo van acondicionar a los hogares cuando hidrocapital no se ocupa de reparar todos las tuberías en… ",0
" : El gobierno de  celebra la Ley que a partir de ahora, destina recursos para la promoción del tejo, un deporte q…",0
"Fue el diciembre del año pasado que había escasez de refrescos? Marico, de pana que absurda es venezuela",0
" marico que mojonero es broly, jodió a Vegeta modo Dios???????? esa verga es increible",0.375
"Realizaré una ponencia de la Historia de la Universidad de Concepción, en su #CentenarioUdeC. Miércoles 16 de enero",0
"Esta todo el mundo hablando sobre la empatia pero sin ningun motivo!!",0
"De donde sacaba tanta mamada? ",0.425
"Repites mis versos y luego me inventas.Mi vida?Tú me la cuentasEso es un compositorUn valiente que vuelve fotos y caras.",0
"Un punto a favor por honestidad.   Cada quien con sus gustos. Para mí es más importante ser el más influyente que el mejor y ahí el arte de Oriente Próximo está laureado, el Imperio Bizantino para más señas. Sin él, los museos de Europa tendrían otras obras.",0
"O soy una fría del orto o soy una intensa de mierda, no tengo punto medio.",0.375
" Esa es mi mujer nojoda",0.3
"¿Quieres conocer lo que la #Unimet tiene para ofrecerte?  Escríbenos: unimet.edu.ve ",0
"Efectivamente, es muy urgente. Saludos Maestro.",0
" Perro desgraciado",0.625
" Malparido imbecil",0.875
"Esto es lo más estúpido que pudo hacer el "" APRA."" Esta tipa no representa a la mujer aprista, representa a todos los troles apristas en RRSS. Si Haya viviera, se volvería Morir pero de vergüenza. Gracias a estas cojudeces el APRA está muriendo compañeros! ",0
"El campo magnético está cambiando a toda velocidad, y no sabemos la causa ",0
"las fans saben que Aris es gay(nunca desmintió), el les dijo que entren a la página aristemo, tiene la pulsera, ya se tatuaron juntos y nunca le haría eso a Temo. o nos equivocamos con el señor(porque a mi me da mala espina) o Aris decide hacer todo por su cuenta POSADA ARISTEMO",0
" Por guevones vendidos como Uds es que estamos cosidos y nunca saldremos de esta vaina. Por favor vaya a freír mono",0.7
" Ese viejo guevon de donde salió? De que ratonera lo sacó   ?",0.7
"celebra la Ley que a partir de ahora, destina recursos para la promoción del tejo, un deporte que enaltece la historia de Boyacá y rescata sus más antiguas tradiciones. ¡En el ",0
" Trimardito Grincholás  ",0.95
"      Se necesita ser muy ciego y necio para seg… ",0.25
"Y el desgraciado habla como si verdaderamente trabajara.. pura apariencia.. Es decir Ladra, ladra y no hace nada.. y como broche de oro, presenta cosas para congraciarse con la señora K, y los anulan por anticinstitucionales...!! Una vergüenza !!",0.375
"Anuncia López Obrador que no asistirá al Foro Económico de Davos.  Para hacer estos papelazos, mejor que se quede en casa. Quien no lo recuerda? Es nostálgico.",0
"Aun cuando la oportunidad te llame, tienes que levantarte de tu asiento y abrir la puerta",0
"maldito maduro",0.7
"No seas BOLSA muchacho.
Tu ni sabes que pasó hace 20 años. ",0.75
" Tengo veinte años escuchando esas estupideces..ya aburren son una comiquita repetida..",0.45
" :   Perdono a todos mis enemigos y suplico a mis amigos que no den paso alguno en desagravio de lo r…",0.45
"Ahora me quedo sin ir al baile de la espuma ‍️",0
"Hay el pendejo del día.
¿Porqué no hacer el ignorante del día?
 ",0.325
"  Tan Guevon justifica las incoherencias del Innombrable sacando a bailar a otro inepto, no sea Uribestia",0.7
" Por el bien de tu salud, no discutas ni de política ni de fútbol ni de religión.",0
"Justo quería llevarle mis análisis al doctor, pero salio de vacaciones",0
"20 grandes momentos del cine (sin leyenda) que solo entenderán los más cultos",0
"Seré el degenerado",0.45
"  Para ser un monstruo, un poco sensible sí que eres. Aunque llamarme puto gilipollas d… ",0.975
"Ya estaria necesitando cortarme el cabello",0
"Para solucionar la crisis, Maduro lanza la misión ""Venezuela bella"", para pintar las paredes de 50 ciudades y sembrar matas.",0
" Viste que si andas de cachapera por ahí hskshskshsjd",0.55
"    Los que cortan la AP.7 también son vox? . Que ridícula eres anormal ",1
" Y por qué tenemos que darle tantas explicaciones a un guevon chavista!!! Que se vaya de aquí a comer mierda a su país.",0.875
"Del caño, ya no hace falta escucharlo. Es más necio que Macri y sus secuaces.  No se puede esperar oposición  sería y responsable de este individuo",0
" Ah bueno, pero ser puta es ser prostituta y me tomas de boludo jajajaja",0.45
"ábado 19Ene a las 9am en el #Auditoriopolar de la Clase magistral: Inteligencia emocional, un árbol con raíces en la familia. Con la Psicólogo Guadalupe Pérez Conceptos para el desarrollo emocional, social y moral del ser humano.",0
"Quitarme la careta de que soy un malparido",0.625
"Muchas gracias a todos los que me mandaron felicitaciones ayer por mi cumpleaños. Gracias por sus palabras y por permitirme compartir mi trabajo diario con ustedes <3    Un cuarto de siglo feliz, emocionada y tranquila.    De corazón (no corazoncito), gracias.",0
"Todo el tiempo agarro arrechera en este mardito pueblo de mierda  ni la meditación puede con esta verga...",0.875
"NOS FUIMOS AL CARAJO... ",0.625
" JAJAJAJA, SOS MUY NECIO",0.3
"Yo me imagino que a la hora del TE, lanzaran ese coñazo de viejos pa que los raspen y queden como que salieron a defender a la 

S A R N A",0.375
" : amor y odio en un mismo t quiero",0
"  JAJAJAJAJA NO SEAS CUAIMA",0.35
" Podría ser un roncito,en lugar de cerveza?",0
"mardito es regalada que quieres? que le pongan flores? ",0.675
" : Ya le enseñé a ir al Oxxo... Nomas falta enseñarle a hacer cuentas porque la última vez lo hicieron pendejo con el cambio…",0
"Frente Amplio uruguayo expulsó a Luis Almagro por arrastrado ",0
"Nada más lindo que comer como un mardito gordo",0.1
"Qué grande Amalia,lo que pasa que no les gusta escuchar verdades,están con el cerebro cerrado al igual que todos lo… ",0.075
"Odio que me mientan, sobretodo cuando ya se la verdaddddd",0.05
"Y así de estúpido e inmerecido como lo es...still miss you",0.7
" : #ArcsaInforma | Continuamos verificando plantas procesadoras de lácteos en #Imbabura en conjunto con , con el…",0
"     Ni pa tirar memes sirve el desgraciado ",0.7
"Lpm porque jamás vi esto, voy a llorar la amistas más goals que he visto ",0.375
"Pero que jodidamente grandes que sois coño ",0.1
"  Seeee...q comience por el degenerado con el q convive y apaña. No puede desmentir lo q… ",0.45
" : A mi lo que me pueden es meter un coñazo y preguntarme si tengo la regla porque ando ladilla ",0.225
"bueno marica debe ser que tu eres entonces una super modelo, deja de bajar a otras mujeres por tu idola, madura un toque y respeta",0.125
" Somos nosotros desgraciado",0.45
" : El malnacido que ha asesinado de una forma cobarde y miserable a la pobre perrita Sota, sigue formando parte de la Guar…",0.7
" : Ahora fíjate lo que hace tu primo  que una vez vino a 9 de Julio cuando yo tenía 16 años y me pidió mi número pa…",0
" : Detectan una ola monstruosa de 24 metros de altura  via ",0
"Venezuela en este momento ",0
"Johnny, si lees con detenimiento el hilo completo, podrás ver que no se está diciendo que esto es actual. Es una recopilación de los abusos cometidos por personajes del régimen, valiéndose de su cargo. Esto no lo quiere nadie.",0
"El senador Marco Rubio exige al gobierno de EEUU que reconozca a Guaidó como “presidente legítimo de Venezuela”, señaló que  “bajo la constitución ante la ausencia de un presidente, el jefe de la Asamblea Nacional asume el poder hasta nuevas elecciones.”",0
" : Si quieres recibir lo último de la #educación, #ciencia y #cultura de #Iberoamérica suscríbete al boletín de novedades de l…",0
"""En 10 años me veo disfrutando aún del canto y el baile, también de los demás miembros.""#JIMIN",0
"Que caligueva tan grande.",0.3
"Que carajo era ir a una recepción?",0.2
" ¿Como así? ¿Y la maravillosa ley que firmo su pupilo Duqie en que quedó? ¿No que se iba a acabar el consumo?",0.125
"Marico yo prefiero estar solo, de pana para estar con un guevon que lo único que hace es mentirte en la cara, pa esa verga estoy solo",0.725
" : Los hermanos Déniz resultaron claves para . Ismael se eliminaba con Cristo Hernández Pollo del Callejon VI y …",0
" : La Trata de Personas puede ocurrir en la ciudad, en tu familia, en el trabajo, en la escuela o en cualquier lugar. Si ere…",0
"En PELIGRO  ultimo corredor Ecológico del VALLE DE CARACAS ",0
"El sonido más horrible del mundo es cuando alguien sorbe la sopa o la bebida. ",0.05
"Uy marico no soporto esta mierda",0.725
" : Que hijueputa año tannn malparido y nadaaaa que se acaba",0.875
"papi, sabemos que la tocaste en el boliche y t hiciste el gil, sabemos que con tus amigos le miraron el culo y se r… ",0.775
"Después se quejan de que su ""computadora está llena de virus"" y es porque los retrasados pagaron 30 Lucas en musimu… ",0.75
"Que asco ésta enfermó con gripe ",0.1
" : Estoy enamoradisimo de la puta de mi novia. Que zorra. Es maravillosa.",0.875
"me duele el puto pecho dios hanbin te odio",0.7
"si pasa a una transición de combustibles fósiles, no se puede seguir con buses Diesel y trancales por la 7ma, 68, caracas..., es necesario cambiar el modo de transportarnos. ",0
"Y desde ese viernes me vengo durmiendo a las 4 de la tarde como un estúpido. Genial lo mio",0.425
"A mi ya hasta se me olvido el horario de la universidad ",0
" : Qué es esto?! una presentación de secundaría? Este es el nivel del director de la empresa más importante del país?! no co…",0.6
"¡Dios mío, líbrame de mis amigos!, De los enemigos ya me encargo yo, Voltaire  #frases #quotes",0
" Tonto y retonto, y más necio que burro a la pastura.",0.625
" Caballero y divertido, da gusto verlo y escucharlo. Yo cuando hago zaping donde lo veo dando una nota,… ",0
" : Somos el Hospital Universitario Nacional de Colombia  el centro de educación en salud con el respaldo…",0
"Hay denuncia y sentencia firme, por eso comparto. Conocele la carita a este desgraciado. ",0
"—¿Vamos a mi casa a follar?
—Tú lo que quieres es ver una peli, degenerado.",0.625
"Ni pasaporte tengo por el mmgvo SAIME  ",0.7
"Grecia. La policía dispersa una manifestación en Atenas de estudiantes y docentes - Resumen Latinoamericano ",0
" Es real tu belleza? Eres arte Carlos",0
" : que asco me dan las personas que justifican a un violador por el simple hecho de que es un FAMOSO y piden pruebas para cre…",0.7
" : Ese que creó el tener que estrenar en diciembre tenía un mojón mental bien arrecho.",0.75
" : #Video  Por embargo de cuentas bancarias miles de empleados forman fila para cobrar su salario en efectivo en Naucalp…",0
"Ojalá dejes de existir porque eres una basura ",0.975
" ""mejor me hago el guevon como si no escuché nada""
Sacar el culo en venezolano",0.8
"La mentira necesita topar de frente con argumentos serios y razonados, de lo contrario crece, ahí estan los 30 millones que se la creyeron y los resultados. Por otra parte, es muy divertido usar los mismos dichos de los fanáticos para ponerlos en evidencia.",0.125
" : ""Nunca te des por vencido en un sueño sólo por el tiempo que tomará para lograrlo. 
El tiempo pasará de todos modos.""",0
" JAJAJAJAJJAJAJAJA si sos una mierda  no te vayas a quedar enculado",0.95
"Así es el drama que viven los pacientes en el hospital universitario de Caracas, con sus héroes: su personal de salud! Y recuerden a la directiva y la garota! Es un reflejo de la Venezuela de verdad y la del madurismo. ",0
"Jajajajaja esto estaría muy divertido ver ",0
" : Comentario de nuestro corresponsal Derlis Gimenez. ",0
" La ""prostituta"" llamó al dealer, a la hermana, a un escribano que luego se transformó en escribana… ",0.7
" : Preocupante lo que pasa con la seguridad de nuestros lideres sociales, atentados y asesinatos diarios y parece que, como…",0
" : Con todo el esfuerzo que hicieron estos pibes , que venga esta dupla de arbitros y decida cobrar lo que quiera en el fina…",0
"que sobrevalorada está la empanada",1
" : Hasta luego Lucas!!
Se nos rompió el amor
De tanto usarlo
De tanto loco abrazo
Sin medidas
De darnos por completo
A cada pa…",0
"Soy un desgraciado ",0.125
" De dónde habrá salido semejante comemierda!!! No es un carga maletín, es un grandísimo jalabolas... Cállate cabron!!",1
" : En resumen: Policía Política pagada por todos protegiendo a corruptos y fabricando pruebas falsas contra Podemos. Fake…",0.5
"ese rabino es un solemne jalabolas d los rojos... pena ajena.. ",0.725
"Por que no muestras los otros que disen k no eres bienvenido a Mexico mmg a kien piensas engañar",0.85
" : Nicolás no le garantiza nada a nadie. La única ruta para sacar a Venezuela adelante es la planteada desde nuestra .…",0
" Vale, tendremos que ir a ver terrenos entonces. Ir a una multinacional o dónde coño se compren esas cosas.",0
" : Mi estimado Mariquita, lamento informarle que el negocio NO seguirá pues ya estamos listos para empezar la FUMIGACIÓN.…",0.7
" : Panamá tiene 4 millones d habitantes. Guatemala tiene 17, 4 veces más q Panamá. Sin embargo nuestro presupuesto es dos vec…",0
"  Chaval espero que dios te de tu merecido y a tu amiga  creo que no Le guste que L… ",0.55
"Jajaja. Neta que me entero de este pendejo cuando ustedes le dan vida. Está bien cagado, tipo . ",0.55
" La tecnología de alimentos es una ciencia más antigua que la de la nutrición.",0
" que no eres una basura jo",0.025
"Este maldito estará consciente el comunista desgraciado que en Cuba o cualquier otro país de la izquierda que tanto aman, le cuesta la vida??? ",0.625
" aca usando twitter desde la computadora, en cualquier momento vuelvo a msn",0
"Pedro J venía a cambiar el periodismo. Vaya desgraciado. ",0.375
"Me quiero afeitar porque ya va siendo hora pero soy tan desgraciado y puto vago que no creo que lo haga",0.625
"que raro el mg de la zorra en la foto de el ",0.75
"Pon a los pies del Señor tu tesoro: tu vocación, tu trabajo, tu familia, tus amistades. ¿Quién mejor que Él para cuidarlo? ",0
"Recién leí un comentario ""No se pondrá celoso su culo de tanta mierda que sale de su boca?"" Y me pareció sublime ",0.8
"El PLD en casi 20 años gobernando, ha fracasado de manera absoluta en la lucha contra el narcotráfico en el país. Pero tambien en el control de sus funcionarios que fungen como autoridades en el sector y que al final son los cómplices del crimen, ostentando estrellas e insignias.",0
"sentimientos de mierda.",0.425
"soy tan estupido q me odio",0.3
"Vecino con su 18 manejaba y el domingo como siempre se levanto al mediodia y fue en busca de su mama al trabajo, no volvio",0
"Ya se porque son los coetes  en el 23 de enero creo que una fecha como hoy el ex gobierno  asesino  un colectivo en el junquito   Cuando el perro de maduro asesinó a Óscar Pérez nuestro líder para la libertad de nuestro país",0
"Luego la floja soy yo, mmgvo",0.55
" : Siempre a nuestro lado
 Yo Soy Noticia‼️
#amigosdeprensa
#Rugby
#VamosAbelles


 https://t.co/u…",0
"Deslíndense de la violencia: Diosdado envió mensaje a los opositores | #LaIguanaTV",0
" Eres una BASURA lame rabos de los banqueros corruptos mafiosos ladrones",0.95
" : DENUNCIAN #18Ene OTRO ROBO Res.MARIA C2 EL MISMO MODUS OPERANDI D LA VEZ PASADA 2CARROS ESTACIONADOS DENTRO DEL SOTANO 8:…",0
"Para las animaciones 3D, los objetos se modelan en la computadora y las figuras 3D se unen con un esqueleto virtual… ",0
" : ""Stephen Eustaquio"" el nuevo nombre de moda para los los bebés Mexicanos.

Lo veo y me cuadra.",0
" :   Toques cristianos, toques conservadores, toques nacionalistas, toques de imposición. Este tuit t…",0
"El 21 de enero abre las inscripciones para estudiar en la Escuela Distrital de Arte ",0
"Con el tiempo me eh dado cuenta que los juegos grupales te hacen conocer a las personas mas de lo que te puede most… ",0
"Atraparon al ladrón que robó $40.000  vía ",0
" A lo mejor le echan la culpa a Guillén (como lo tachó de ""mojonero"").",0
"Qué ganas de estar cagado de frío lpm",0.675
" : Ya soy fanático de ""Campanas en Lamothe"". Es mi consumo irónico del verano.",0
"Y el alcalde escuálido de Mérida sera que todavía no se a encargado? Porque vaya asco de ciudad, no hay otra igual ASCO",0.375
" : No nos terminamos de despedir de Agustina, y hoy ya hay una victima mas.
Danisa María del Luján Canale, de 39 años. Su mar…",0
"ES UNA ANIMALADA!!!! Pero, claro, cómo no le paso a la hija de ninguno de los jueces que dictó sentencia, está todo bien!!!! Deberían destituir a los magistrados y cortarle el pene al desgraciado",0.3
"Hoy la Cámara de Diputados aprobó nuestro proyecto de migraciones. Gran paso adelante para seguir poniendo orden en nuestra casa en materia de migraciones y así combatir mejor la inmigración ilegal y el ingreso a Chile de males como delincuencia, narcotráfico y crimen organizado.",0
" Este guevon es todo un Loquillo, ya nadie te copia estimado precursor paramilitar",0.7
" Desgraciado eres si, pero por fichar a Bale jajaja",0.375
" Y como sabes que lo van a matar al bebé?",0
"mardito gato jaja ",0.375
" Que clase de gafo se pica si le dicen que ciencia es más complejo que letras? Claro que lo es, por mucho.… ",0.375
"  Es un meme no un perro amigoooooooooooo",0
"NECESITO el collar de todo moda que cambia de color con el estado de ánimo",0
" : Agradezco mucho los mensajes , el apoyo de los hinchas , dirigentes , utileros , compañeros , cocineras amigos , famili…",0
" Perro desgraciado, profesor chimbo es lo q sos, deberías estar apoyando la protesta estudiantil, tibio de mierda.",0.75
" Hay que revisar por esos banco del mundo cuanto dinero le dieron a Claudio Fermin y al Tigre Ferna… ",0
"  Bomotico,  este anormal.ya no sabe que.hacer para llamar la.atención..",0
